Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Kepulauan Riau,HKM HD HTR,Setengah Jadi,Panel,Kayu Gergajian,Panel,73.22
Lampung,IUPHHK HTI,Kayu Tanaman,Panel,Kayu Gergajian,Panel,6650.29
Maluku,HKM HD Kemitraan,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,637.07
Maluku Utara,UPHHK HTR,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,391.41
Papua,IUPHHK RE,Limbah,Veneer,Kayu Gergajian,Veneer,12436.32
Papua Barat,HKM HD HTR,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,8287.24
Riau,Hutan Lindung,Limbah,Pulp,Kayu Gergajian,Pulp,7872.45
Sulawesi Selatan,UPHHK HTR,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,296.03
Sulawesi Tengah,UPHHK HTR,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,2131.62
Sulawesi Tenggara,IUPHHK RE,Kayu Tanaman,Chipwood,Kayu Gergajian,Chipwood,1542.43
Sulawesi Utara,IUPHHK HA,Setengah Jadi,Paper,Kayu Gergajian,Paper,0.0
Sumatera Barat,IUPHHK HA,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,2228.8
Sumatera Selatan,UPHHK HTR,Kayu Alam,Panel,Kayu Gergajian,Panel,3511.17
Sumatera Utara,UPHHK HTR,Setengah Jadi,Paper,Kayu Gergajian,Paper,24674.39
Aceh,IUPHHK RE,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,1113.43
Bali,UPHHK HTR,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,1023.65
Banten,HKM HD HTR,Kayu Perkebunan,Veneer,Kayu Gergajian,Veneer,601.56
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,289.13
DKI Jakarta,Hutan Produksi,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,5.96
Gorontalo,HKM HD HTR,Kayu Alam,Veneer,Kayu Gergajian,Veneer,0.0
Jambi,IUPHHK HTI,Limbah,Woodworking,Kayu Gergajian,Woodworking,4672.07
Jawa Barat,UPHHK HTR,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,1871.45
Jawa Tengah,Hutan Produksi,Limbah,Chipwood,Kayu Gergajian,Chipwood,41948.11
Jawa Timur,IUPHHK HA,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,60526.28
Kalimantan Barat,Hutan Produksi,Limbah,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,1201.78
Kalimantan Selatan,HKM HD Kemitraan,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,5304.77
Kalimantan Tengah,Hutan Produksi,Limbah,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,6420.35
Kalimantan Timur,Hutan Produksi,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,5891.06
Kalimantan Utara,UPHHK HTR,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,1026.21
Kepulauan Riau,Hutan Produksi,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,0.0
Lampung,Hutan Produksi,Kayu Perkebunan,Panel,Kayu Gergajian,Panel,5067.37
Maluku,IUPHHK HA,Kayu Alam,Paper,Kayu Gergajian,Paper,886.45
Maluku Utara,HKM HD HTR,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,366.44
Papua,UPHHK HTR,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,11675.37
Papua Barat,IUPHHK HA,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,5691.05
Riau,Hutan Lindung,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,7880.59
Sulawesi Selatan,IUPHHK RE,Kayu Alam,Panel,Kayu Gergajian,Panel,304.98
Sulawesi Tengah,Hutan Produksi,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,2374.28
Sulawesi Tenggara,UPHHK HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,1926.15
Sulawesi Utara,UPHHK HTR,Limbah,Woodworking,Kayu Gergajian,Woodworking,0.0
Sumatera Barat,IUPHHK HTI,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,1040.76
Sumatera Selatan,UPHHK HTR,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,4627.04
Sumatera Utara,Hutan Produksi,Limbah,Paper,Kayu Gergajian,Paper,23072.47
Aceh,UPHHK HTR,Limbah,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,508.1
Bali,HKM HD Kemitraan,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,273.44
Banten,IUPHHK HA,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,465.09
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,308.47
DKI Jakarta,IUPHHK RE,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,13.56
Gorontalo,Hutan Lindung,Limbah,Woodworking,Kayu Gergajian,Woodworking,0.0
Jambi,IUPHHK RE,Limbah,Paper,Kayu Gergajian,Paper,3334.5
Jawa Barat,IUPHHK RE,Limbah,Chipwood,Kayu Gergajian,Chipwood,1640.82
Jawa Tengah,IUPHHK HTI,Kayu Tanaman,Chipwood,Kayu Gergajian,Chipwood,32142.13
Jawa Timur,IUPHHK RE,Setengah Jadi,Paper,Kayu Gergajian,Paper,45345.19
Kalimantan Barat,IUPHHK HTI,Setengah Jadi,Panel,Kayu Gergajian,Panel,627.05
Kalimantan Selatan,UPHHK HTR,Limbah,Veneer,Kayu Gergajian,Veneer,4625.48
Kalimantan Tengah,HKM HD HTR,Limbah,Veneer,Kayu Gergajian,Veneer,4608.47
Kalimantan Timur,Hutan Lindung,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,3989.63
Kalimantan Utara,UPHHK HTR,Kayu Tanaman,Paper,Kayu Gergajian,Paper,539.18
Kepulauan Riau,Hutan Produksi,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,0.0
Lampung,UPHHK HTR,Kayu Alam,Pulp,Kayu Gergajian,Pulp,4099.74
Maluku,IUPHHK HTI,Kayu Alam,Veneer,Kayu Gergajian,Veneer,516.06
Maluku Utara,UPHHK HTR,Limbah,Pulp,Kayu Gergajian,Pulp,80.17
Papua,IUPHHK RE,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,8871.35
Papua Barat,Hutan Lindung,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,5156.85
Riau,UPHHK HTR,Limbah,Paper,Kayu Gergajian,Paper,6525.95
Sulawesi Selatan,IUPHHK RE,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,189.69
Sulawesi Tengah,IUPHHK HTI,Kayu Alam,Paper,Kayu Gergajian,Paper,1639.39
Sulawesi Tenggara,IUPHHK HTI,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,1008.65
Sulawesi Utara,IUPHHK RE,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sumatera Barat,IUPHHK HA,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,78.47
Sumatera Selatan,HKM HD HTR,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,3764.46
Sumatera Utara,IUPHHK RE,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,14771.5
Aceh,HKM HD Kemitraan,Setengah Jadi,Chipwood,Kayu Gergajian,Chipwood,457.58
Bali,HKM HD HTR,Limbah,Panel,Kayu Gergajian,Panel,235.31
Banten,Hutan Lindung,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,876.78
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Perkebunan,Veneer,Kayu Gergajian,Veneer,345.36
DKI Jakarta,HKM HD Kemitraan,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,20.62
Gorontalo,HKM HD HTR,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,0.0
Jambi,Hutan Produksi,Limbah,Pulp,Kayu Gergajian,Pulp,4839.86
Jawa Barat,Hutan Lindung,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,1848.77
Jawa Tengah,UPHHK HTR,Limbah,Panel,Kayu Gergajian,Panel,41942.47
Jawa Timur,HKM HD HTR,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,65259.4
Kalimantan Barat,HKM HD Kemitraan,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,1136.74
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,5632.81
Kalimantan Tengah,IUPHHK RE,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,8892.64
Kalimantan Timur,HKM HD Kemitraan,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,6208.78
Kalimantan Utara,HKM HD HTR,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,1062.07
Kepulauan Riau,UPHHK HTR,Kayu Tanaman,Woodworking,Kayu Gergajian,Woodworking,141.08
Lampung,HKM HD HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,6106.77
Maluku,Hutan Lindung,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,794.29
Maluku Utara,HKM HD Kemitraan,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,208.17
Papua,IUPHHK HA,Kayu Alam,Paper,Kayu Gergajian,Paper,13881.02
Papua Barat,IUPHHK RE,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,8782.61
Riau,IUPHHK HA,Setengah Jadi,Pulp,Kayu Gergajian,Pulp,7994.36
Sulawesi Selatan,Hutan Produksi,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,228.14
Sulawesi Tengah,Hutan Produksi,Kayu Tanaman,Woodworking,Kayu Gergajian,Woodworking,2169.64
Sulawesi Tenggara,IUPHHK HTI,Setengah Jadi,Paper,Kayu Gergajian,Paper,1316.39
Sulawesi Utara,IUPHHK HA,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,0.0
Sumatera Barat,Hutan Lindung,Limbah,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,33.76
Sumatera Selatan,IUPHHK HTI,Kayu Tanaman,Chipwood,Kayu Gergajian,Chipwood,4771.21
Sumatera Utara,HKM HD Kemitraan,Kayu Alam,Panel,Kayu Gergajian,Panel,22891.14
Aceh,HKM HD Kemitraan,Kayu Alam,Veneer,Kayu Gergajian,Veneer,194.15
Bali,IUPHHK HA,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,268.88
Banten,Hutan Lindung,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,890.48
Daerah Istimewa Yogyakarta,IUPHHK HA,Limbah,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,295.26
DKI Jakarta,HKM HD HTR,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,0.0
Gorontalo,HKM HD Kemitraan,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,0.0
Jambi,HKM HD HTR,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,4821.3
Jawa Barat,UPHHK HTR,Setengah Jadi,Kerajinan,Kayu Gergajian,Kerajinan,1835.9
Jawa Tengah,HKM HD HTR,Kayu Alam,Pulp,Kayu Gergajian,Pulp,40531.44
Jawa Timur,HKM HD HTR,Limbah,Pulp,Kayu Gergajian,Pulp,60765.31
Kalimantan Barat,IUPHHK HTI,Setengah Jadi,Panel,Kayu Gergajian,Panel,443.53
Kalimantan Selatan,Hutan Produksi,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,3061.38
Kalimantan Tengah,Hutan Lindung,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,7162.39
Kalimantan Timur,HKM HD Kemitraan,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,4704.9
Kalimantan Utara,UPHHK HTR,Kayu Alam,Panel,Kayu Gergajian,Panel,536.63
Kepulauan Riau,IUPHHK HTI,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Lampung,Hutan Lindung,Kayu Alam,Veneer,Kayu Gergajian,Veneer,6407.85
Maluku,Hutan Produksi,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,445.72
Maluku Utara,HKM HD HTR,Limbah,Veneer,Kayu Gergajian,Veneer,302.67
Papua,HKM HD HTR,Kayu Perkebunan,Veneer,Kayu Gergajian,Veneer,14241.23
Papua Barat,Hutan Produksi,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,8916.58
Riau,IUPHHK HTI,Limbah,Pulp,Kayu Gergajian,Pulp,7665.52
Sulawesi Selatan,HKM HD Kemitraan,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,161.05
Sulawesi Tengah,Hutan Produksi,Limbah,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,2327.47
Sulawesi Tenggara,HKM HD Kemitraan,Kayu Alam,Veneer,Kayu Gergajian,Veneer,1355.47
Sulawesi Utara,Hutan Lindung,Kayu Tanaman,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,19.0
Sumatera Barat,Hutan Lindung,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,49.05
Sumatera Selatan,UPHHK HTR,Setengah Jadi,Panel,Kayu Gergajian,Panel,4272.61
Sumatera Utara,Hutan Produksi,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,18688.23
Aceh,IUPHHK RE,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,258.39
Bali,IUPHHK HA,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,129.24
Banten,UPHHK HTR,Setengah Jadi,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,1026.17
Daerah Istimewa Yogyakarta,Hutan Produksi,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,228.19
DKI Jakarta,HKM HD Kemitraan,Kayu Alam,Veneer,Kayu Gergajian,Veneer,0.0
Gorontalo,IUPHHK HA,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,76.99
Jambi,IUPHHK HTI,Kayu Tanaman,Panel,Kayu Gergajian,Panel,4279.73
Jawa Barat,Hutan Produksi,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,2243.45
Jawa Tengah,IUPHHK HTI,Kayu Perkebunan,Veneer,Kayu Gergajian,Veneer,43460.14
Jawa Timur,Hutan Lindung,Kayu Tanaman,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,62529.84
Kalimantan Barat,IUPHHK RE,Setengah Jadi,Paper,Kayu Gergajian,Paper,159.91
Kalimantan Selatan,IUPHHK HA,Kayu Tanaman,Chipwood,Kayu Gergajian,Chipwood,6419.28
Kalimantan Tengah,IUPHHK HA,Kayu Tanaman,Kerajinan,Kayu Gergajian,Kerajinan,7026.14
Kalimantan Timur,HKM HD Kemitraan,Setengah Jadi,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,6113.19
Kalimantan Utara,Hutan Produksi,Limbah,Paper,Kayu Gergajian,Paper,541.08
Kepulauan Riau,IUPHHK HA,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,0.0
Lampung,HKM HD Kemitraan,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,6258.44
Maluku,Hutan Lindung,Kayu Tanaman,Kerajinan,Kayu Gergajian,Kerajinan,438.41
Maluku Utara,IUPHHK HTI,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,94.91
Papua,UPHHK HTR,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,14217.26
Papua Barat,UPHHK HTR,Setengah Jadi,Chipwood,Kayu Gergajian,Chipwood,10000.26
Riau,HKM HD HTR,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,7462.73
Sulawesi Selatan,UPHHK HTR,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,205.9
Sulawesi Tengah,IUPHHK RE,Setengah Jadi,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,2388.0
Sulawesi Tenggara,IUPHHK RE,Setengah Jadi,Chipwood,Kayu Gergajian,Chipwood,812.72
Sulawesi Utara,HKM HD HTR,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,7.0
Sumatera Barat,UPHHK HTR,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,73.0
Sumatera Selatan,HKM HD HTR,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,4338.92
Sumatera Utara,IUPHHK HA,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,18096.2
Aceh,Hutan Produksi,Kayu Perkebunan,Panel,Kayu Gergajian,Panel,344.91
Bali,HKM HD HTR,Limbah,Paper,Kayu Gergajian,Paper,177.29
Banten,HKM HD Kemitraan,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,1001.28
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,204.7
DKI Jakarta,Hutan Lindung,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,0.0
Gorontalo,Hutan Lindung,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,0.0
Jambi,IUPHHK RE,Setengah Jadi,Kerajinan,Kayu Gergajian,Kerajinan,4195.43
Jawa Barat,HKM HD HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,2058.49
Jawa Tengah,UPHHK HTR,Kayu Alam,Pulp,Kayu Gergajian,Pulp,39831.86
Jawa Timur,HKM HD HTR,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,54912.77
Kalimantan Barat,Hutan Lindung,Limbah,Chipwood,Kayu Gergajian,Chipwood,19.48
Kalimantan Selatan,UPHHK HTR,Kayu Perkebunan,Panel,Kayu Gergajian,Panel,4446.68
Kalimantan Tengah,HKM HD Kemitraan,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,6876.11
Kalimantan Timur,IUPHHK HA,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,4683.58
Kalimantan Utara,IUPHHK HA,Limbah,Chipwood,Kayu Gergajian,Chipwood,713.1
Kepulauan Riau,Hutan Produksi,Kayu Tanaman,Kerajinan,Kayu Gergajian,Kerajinan,91.42
Lampung,Hutan Produksi,Setengah Jadi,Pulp,Kayu Gergajian,Pulp,6170.41
Maluku,HKM HD HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,381.51
Maluku Utara,HKM HD HTR,Kayu Perkebunan,Woodworking,Kayu Gergajian,Woodworking,57.2
Papua,Hutan Lindung,Limbah,Woodworking,Kayu Gergajian,Woodworking,13208.54
Papua Barat,Hutan Produksi,Limbah,Woodworking,Kayu Gergajian,Woodworking,8401.32
Riau,Hutan Lindung,Kayu Alam,Paper,Kayu Gergajian,Paper,8054.18
Sulawesi Selatan,HKM HD HTR,Limbah,Panel,Kayu Gergajian,Panel,190.69
Sulawesi Tengah,UPHHK HTR,Kayu Alam,Kerajinan,Kayu Gergajian,Kerajinan,1949.62
Sulawesi Tenggara,IUPHHK HA,Setengah Jadi,Paper,Kayu Gergajian,Paper,1359.19
Sulawesi Utara,Hutan Lindung,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,16.0
Sumatera Barat,IUPHHK RE,Limbah,Paper,Kayu Gergajian,Paper,359.21
Sumatera Selatan,UPHHK HTR,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,4450.8
Sumatera Utara,IUPHHK RE,Kayu Tanaman,Kerajinan,Kayu Gergajian,Kerajinan,16850.9
Aceh,HKM HD HTR,Kayu Tanaman,Paper,Kayu Gergajian,Paper,98.65
Bali,IUPHHK HA,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,343.49
Banten,Hutan Lindung,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,612.48
Daerah Istimewa Yogyakarta,Hutan Produksi,Kayu Perkebunan,Veneer,Kayu Gergajian,Veneer,199.44
DKI Jakarta,IUPHHK RE,Kayu Alam,Paper,Kayu Gergajian,Paper,0.0
Gorontalo,HKM HD HTR,Kayu Alam,Paper,Kayu Gergajian,Paper,0.0
Jambi,HKM HD HTR,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,4476.11
Jawa Barat,IUPHHK HTI,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,2199.99
Jawa Tengah,HKM HD HTR,Kayu Tanaman,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,34890.66
Jawa Timur,IUPHHK HA,Limbah,Woodworking,Kayu Gergajian,Woodworking,48646.16
Kalimantan Barat,HKM HD Kemitraan,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,292.43
Kalimantan Selatan,UPHHK HTR,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,5459.96
Kalimantan Tengah,HKM HD HTR,Kayu Alam,Panel,Kayu Gergajian,Panel,6478.93
Kalimantan Timur,IUPHHK HTI,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,4513.69
Kalimantan Utara,UPHHK HTR,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,911.66
Kepulauan Riau,HKM HD HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,0.0
Lampung,UPHHK HTR,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,4284.77
Maluku,Hutan Lindung,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,559.1
Maluku Utara,IUPHHK RE,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,290.87
Papua,Hutan Produksi,Limbah,Paper,Kayu Gergajian,Paper,9968.64
Papua Barat,IUPHHK HA,Kayu Tanaman,Paper,Kayu Gergajian,Paper,5936.11
Riau,Hutan Produksi,Limbah,Veneer,Kayu Gergajian,Veneer,7558.68
Sulawesi Selatan,Hutan Produksi,Kayu Tanaman,Paper,Kayu Gergajian,Paper,112.87
Sulawesi Tengah,Hutan Produksi,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,1763.2
Sulawesi Tenggara,Hutan Lindung,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,1714.4
Sulawesi Utara,IUPHHK HA,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,50.0
Sumatera Barat,UPHHK HTR,Kayu Tanaman,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,38.02
Sumatera Selatan,IUPHHK RE,Setengah Jadi,Paper,Kayu Gergajian,Paper,4973.72
Sumatera Utara,Hutan Produksi,Kayu Alam,Paper,Kayu Gergajian,Paper,13938.09
Aceh,Hutan Produksi,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,51.9
Bali,IUPHHK RE,Limbah,Chipwood,Kayu Gergajian,Chipwood,1206.69
Banten,UPHHK HTR,Kayu Tanaman,Kerajinan,Kayu Gergajian,Kerajinan,628.57
Daerah Istimewa Yogyakarta,IUPHHK RE,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,173.25
DKI Jakarta,IUPHHK RE,Kayu Perkebunan,Panel,Kayu Gergajian,Panel,0.0
Gorontalo,IUPHHK HTI,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,59.09
Jambi,UPHHK HTR,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,3853.41
Jawa Barat,IUPHHK HTI,Kayu Alam,Veneer,Kayu Gergajian,Veneer,2271.04
Jawa Tengah,IUPHHK RE,Limbah,Paper,Kayu Gergajian,Paper,31946.65
Jawa Timur,Hutan Lindung,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,47952.2
Kalimantan Barat,UPHHK HTR,Kayu Perkebunan,Woodworking,Kayu Gergajian,Woodworking,429.1
Kalimantan Selatan,Hutan Lindung,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,6079.82
Kalimantan Tengah,IUPHHK RE,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,6154.89
Kalimantan Timur,UPHHK HTR,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,6428.29
Kalimantan Utara,UPHHK HTR,Kayu Tanaman,Woodworking,Kayu Gergajian,Woodworking,915.85
Kepulauan Riau,HKM HD HTR,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,675.47
Lampung,IUPHHK RE,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,4190.02
Maluku,IUPHHK RE,Kayu Tanaman,Chipwood,Kayu Gergajian,Chipwood,658.08
Maluku Utara,IUPHHK HTI,Kayu Tanaman,Paper,Kayu Gergajian,Paper,19.5
Papua,IUPHHK HA,Kayu Alam,Paper,Kayu Gergajian,Paper,8536.13
Papua Barat,Hutan Produksi,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,6250.47
Riau,HKM HD HTR,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,7577.03
Sulawesi Selatan,HKM HD HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,84.77
Sulawesi Tengah,HKM HD HTR,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,1910.08
Sulawesi Tenggara,IUPHHK HA,Limbah,Panel,Kayu Gergajian,Panel,1832.91
Sulawesi Utara,Hutan Produksi,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,70.0
Sumatera Barat,HKM HD HTR,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,222.91
Sumatera Selatan,HKM HD HTR,Setengah Jadi,Kerajinan,Kayu Gergajian,Kerajinan,3250.59
Sumatera Utara,Hutan Produksi,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,11523.48
Aceh,UPHHK HTR,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,73.7
Bali,IUPHHK HA,Kayu Perkebunan,Veneer,Kayu Gergajian,Veneer,869.37
Banten,UPHHK HTR,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,891.17
Daerah Istimewa Yogyakarta,Hutan Produksi,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,162.48
DKI Jakarta,IUPHHK HTI,Kayu Alam,Paper,Kayu Gergajian,Paper,0.0
Gorontalo,HKM HD HTR,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,74.9
Jambi,HKM HD Kemitraan,Kayu Tanaman,Panel,Kayu Gergajian,Panel,4335.68
Jawa Barat,IUPHHK RE,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,1999.56
Jawa Tengah,Hutan Lindung,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,33291.67
